completeness_percent,publisher,quality_score,pid,error_percent,id,weighted_error_percent,weighted_quality_rating,schema_version,title,quality_rating,weighted_quality_score,weighted_completeness_percent
19.05,,33.95,8b9efd45-f56d-4aa3-b2b8-c66ff3813a2b,51.16,084ab1d8-78f6-4c04-b829-6891c6463ca9,50.79,Not Rated,1.1.7,Breast Test Wales (SBTW),Not Rated,41.27,33.33
80.95,ALLIANCE > SAIL,80.01,e4004e0e-6adb-4b11-82c2-af0caf61d751,20.93,08846261-45f0-4bcf-9801-fe785dcef1c9,22.22,Silver,1.1.7,Careers Wales dataset,Silver,83.34,88.89
4.76,,29.12,a2eddb27-c8bd-42ae-94f8-2a3026220da3,46.51,089a0dd5-b2bd-4152-8033-d53552fe2c80,46.03,Not Rated,1.1.7,Klang Asthma Cohort,Not Rated,29.36,4.76
19.05,,32.78,0e903b9e-a329-478a-937c-480eecee4996,53.49,08bffe91-46aa-4718-ab3a-9e9b60353ea2,55.56,Not Rated,1.1.7,National Joint Registry - Primary Shoulder Replacement dataset,Not Rated,38.88,33.33
19.05,,32.78,419e5a82-2d82-48a7-a8f3-a83e64a54e92,53.49,08d1a4f5-92b0-4142-a38d-8bac734086e8,55.56,Not Rated,1.1.7,Tayside Pathology,Not Rated,38.88,33.33
19.05,,32.78,750063ea-6bfd-4492-9748-2a18080cf6ea,53.49,0910383a-44d6-4652-98da-550df7204416,55.56,Not Rated,1.1.7,NHS Tayside and Fife Accident & Emergency Dataset (ISD/National),Not Rated,38.88,33.33
73.81,HUB > PIONEER,74.12,86632207-1e57-4272-b178-ea069a13cae1,25.58,0942304f-8b91-4258-af9c-3a1801c7e79f,25.4,Silver,1.1.7,The acute presentation of pregnant women to non-maternity Emergency departments,Bronze,78.57,82.54
4.76,,29.12,834618f3-0c6d-4ed2-abae-39208c6b3080,46.51,0969dc51-1ab9-469a-8b35-3ec63f30fa89,46.03,Not Rated,1.1.7,National Cardiac Audit Programme - National Heart Failure Audit,Not Rated,29.36,4.76
69.05,ALLIANCE > TISSUE DIRECTORY,76.38,1fdf266c-d5d8-418d-a423-81265da540a2,16.28,097cc6bd-ce98-47ec-a73d-5d2c250f2697,15.87,Bronze,1.1.7,ICON9 Trial,Silver,72.22,60.32
19.05,,32.78,4b8286e2-c4e4-4db4-8fd9-5f1c8b4e56de,53.49,09d1cc0f-4b4d-4525-853a-012ece4a1ab2,55.56,Not Rated,1.1.7,National Joint Registry - Revision Hip Replacement dataset,Not Rated,38.88,33.33
4.76,,29.12,6b2aca2c-b03a-44ba-80a1-883b744421b6,46.51,09f04291-670d-4db0-a3e4-7e0d84555231,46.03,Not Rated,1.1.7,Development of ELISA and Rapid Testing Kits for COVID-19,Not Rated,29.36,4.76
4.76,,29.12,df288318-6663-417d-9870-666e75920bed,46.51,0a137eec-4288-400b-8c47-0275319c9f09,46.03,Not Rated,1.1.7,Lothian Birth Cohort 1921 (LBC1921),Not Rated,29.36,4.76
95.24,ALLIANCE > SAIL,89.48,48ef8f54-9606-4e6f-9256-3cc07ffd10b8,16.28,0abfceb7-5a56-4559-b0d4-88326e0331a3,20.63,Gold,1.1.7,Pathology Data from WRRS,Gold,89.69,100.0
19.05,,32.78,48ef8f54-9606-4e6f-9256-3cc07ffd10b8,53.49,0ac16d3d-5ca8-4e25-ad46-ce8e03a04e17,55.56,Not Rated,1.1.7,Pathology Data from WRRS (PATH) - Legacy,Not Rated,38.88,33.33
78.57,NCS > OFFICE FOR NATIONAL STATISTICS,76.5,2f66bcf9-e626-4e8d-bc6e-2d3958e709d8,25.58,0ac9438e-da8d-4488-bdc6-8285d1401b1d,28.57,Silver,1.1.7,Census 2011 E&W - Household structure for COVID-19 models,Silver,78.57,85.71
19.05,,31.62,d5c0cc93-3347-46f0-b8dd-f44e82718e38,55.81,0af73a56-5683-4072-99c0-01c84355d0d0,60.32,Not Rated,1.1.7,Mental Health Dataset (MHDS) for CPRD GOLD,Not Rated,36.5,33.33
4.76,,29.12,9d242d12-2d2e-4941-93e4-9ec40d239dd1,46.51,0b06a5c0-f015-4ce6-bf53-cab304334ae0,46.03,Not Rated,1.1.7,Determinants of Adolescent Social Wellbeing & Health (DASH),Not Rated,29.36,4.76
69.05,ALLIANCE > TISSUE DIRECTORY,75.22,ebe6c9dd-fb95-4301-a929-c21b8077753a,18.6,0b7ea326-fc05-4aca-a962-3f93128b91d1,19.05,Bronze,1.1.7,HPB Biobank,Bronze,70.64,60.32
19.05,,33.95,8a8a5e90-b0c6-4839-bcd2-c69e6e8dca6d,51.16,0b835c3e-9968-4f12-8aad-c4f10a7d460f,50.79,Not Rated,1.1.7,Welsh Demographic Service Dataset (WDSD),Not Rated,41.27,33.33
19.05,,33.95,4c33a5d2-164c-41d7-9797-dc2b008cc852,51.16,0bffc029-b739-4974-8855-8912a152834a,50.79,Not Rated,1.1.7,Patient Episode Dataset for Wales (PEDW),Not Rated,41.27,33.33
66.67,HUB > BREATHE,74.03,de496590-26b3-4e74-bc5e-1ff5c83f5b43,18.6,0c219a61-a1d6-4c5b-bec2-3537454e4137,19.05,Bronze,1.1.7,Teleconsultation in remote rural India: management of COPD and Asthma,Bronze,69.05,57.14
69.05,ALLIANCE > TISSUE DIRECTORY,75.22,35985f8e-f01a-41cc-a9e2-30299d3d6eed,18.6,0c50801d-1079-4879-b608-5e8f112b313f,19.05,Bronze,1.1.7,Tissue Access for Patient Benefit (TAPb),Bronze,70.64,60.32
71.43,HUB > BREATHE,77.58,25bc9862-5b6c-4dda-80b2-46642d9e518a,16.28,0c78d1cf-4ba6-44f4-adcf-16c15142d8fb,19.05,Bronze,1.1.7,Early Pandemic Evaluation and Enhanced Surveillance of COVID-19 (EAVE II),Silver,69.84,58.73
19.05,,32.78,291c0dd4-0988-42d2-8e0b-878a892add57,53.49,0c8fcf41-177b-4ca8-a01f-d86ca8bd5a03,55.56,Not Rated,1.1.7,Substance Misuse Dataset (SMDS),Not Rated,38.88,33.33
47.62,ALLIANCE > NHS DIGITAL,57.53,f3bb6a68-2c32-40a7-9a79-61a718068893,32.56,0c98200b-48b5-418a-b8d0-a7708abc1f39,30.16,Not Rated,1.1.7,Mental Health Services Data Set - Community,Not Rated,57.94,46.03
19.05,,31.62,51b41359-1558-48df-9950-88f75ca6ac4c,55.81,0cd32bab-357b-4ea2-bba0-eca90b7b36e9,60.32,Not Rated,1.1.7,"Problem, Diagnosis and Procedures",Not Rated,36.5,33.33
4.76,,29.12,ae1898da-7fe5-4fe0-b10d-9f06cdec1735,46.51,0d65fabc-6cb0-4a77-a01d-cb341b0b053c,46.03,Not Rated,1.1.7,NIHR IBD BioResource: NHS Trust data,Not Rated,29.36,4.76
71.43,ALLIANCE > TISSUE DIRECTORY,77.58,12288034-00a4-47a8-a779-1cf7a55270e4,16.28,0d6ab9af-c43b-490d-b39c-2d72de46a661,15.87,Bronze,1.1.7,The Cleft Collective,Silver,73.81,63.49
69.05,ALLIANCE > TISSUE DIRECTORY,76.38,6f1b9a4e-2367-47f1-a985-3ed9bf3a7211,16.28,0d70b5c8-da5d-49c5-8ff5-0bdc7b5f6306,15.87,Bronze,1.1.7,MRC Brain Banks Network,Silver,72.22,60.32
69.05,ALLIANCE > TISSUE DIRECTORY,76.38,8648d251-6186-4383-82fc-c036a87c3842,16.28,0d79e0d8-9b3d-4450-9c34-0539673dc9a5,15.87,Bronze,1.1.7,Leeds NIHR Biomarker Research Tissue Bank,Silver,72.22,60.32
19.05,,32.78,32edd77d-533c-423f-b045-937507f8505d,53.49,0ddb1d67-e0b9-4b08-898c-9957a09d7e69,55.56,Not Rated,1.1.7,Renal Register – PHS National Dataset,Not Rated,38.88,33.33
73.81,HUB > DATA-CAN,70.62,616c4488-65a5-4608-a187-0c6bc78b359a,32.56,0ddcb454-2372-4180-9ba0-a7e1896d4fe2,33.33,Bronze,1.1.7,Real Time Data Network (RTDN),Bronze,73.02,79.37
71.43,ALLIANCE > NHS DIGITAL,71.76,2ed7bbbc-80db-46c2-a45b-632dda40794b,27.91,0e07413c-892c-4f06-bd22-2a917eb5c905,30.16,Bronze,1.1.7,Cancer Registration Data,Bronze,74.61,79.37
64.29,ALLIANCE > NHS DIGITAL,60.05,29c61f09-c4a1-425f-9bbc-888c23d99516,44.19,0e6e6ed5-ab81-4d7f-b06a-768bf33357ca,49.21,Not Rated,1.1.7,Mental Health Minimum Dataset v4 (Sensitive) Episodes,Not Rated,64.28,77.78
19.05,,33.95,ae3fd121-141d-466b-b002-06c3959116d0,51.16,0e9e034a-913a-4764-8615-961c3647b268,50.79,Not Rated,1.1.7,"Cancer and cerebrovascular events: frequency, cancer types and outcomes",Not Rated,41.27,33.33
69.05,ALLIANCE > TISSUE DIRECTORY,76.38,c0dcceca-c8cf-4269-a0e0-0c18b6ba2de1,16.28,0ecedaa2-e8f5-4eb2-ad3f-fc2ce433fc36,15.87,Bronze,1.1.7,Cardamon Clinical Trial Samples,Silver,72.22,60.32
19.05,,33.95,656b2c22-9e57-4f15-9b3c-1969da6495ca,51.16,0efcd6ce-4e7a-4f8e-8903-1a987ec76b1c,50.79,Not Rated,1.1.7,Better Rx BRIT2 Patient GP Dataset,Not Rated,41.27,33.33
4.76,,29.12,2b640175-725a-465f-9aec-6794e6d27791,46.51,0f1a2789-e8b3-4e36-9622-65d76cebff26,46.03,Not Rated,1.1.7,National Cardiac Audit Programme -  Congenital Heart Disease Audit (NCHDA),Not Rated,29.36,4.76
69.05,ALLIANCE > TISSUE DIRECTORY,76.38,b5533cb5-0c59-495b-9b11-3c401daeb958,16.28,0faa4c3e-edf5-4ae8-9b26-c59c98e26b57,15.87,Bronze,1.1.7,UKALL14 Trial,Silver,72.22,60.32
64.29,ALLIANCE > NHS DIGITAL,60.05,9c8bd383-b117-4167-a25c-9e15fa5ec1c6,44.19,0fc61ace-397d-4489-9e62-77f88082e775,49.21,Not Rated,1.1.7,Mental Health & Learning Disabilities Dataset v 1 (Non-Sensitive) Events,Not Rated,64.28,77.78
4.76,,29.12,949d9d7a-a3f1-480a-8563-3fb024300561,46.51,1045ca85-0c8f-453b-9da3-778144cf3744,46.03,Not Rated,1.1.7,"National Audit of Dementia - spotlight audit on  psychotropic medication, 2019",Not Rated,29.36,4.76
19.05,,32.78,c0fc84af-aeab-4c7e-aa0b-8264baff55d9,53.49,1046cc4d-bd35-43de-a156-80bddb3eb415,55.56,Not Rated,1.1.7,COVID-19 Test Trace and Protect (CTTP),Not Rated,38.88,33.33
19.05,,33.95,3d6b69dc-cb3c-4b9a-bdea-a798e7d5b5cf,51.16,108d652d-3afb-4001-8ae6-b5a42e8b2daa,50.79,Not Rated,1.1.7,NHS 111 Dataset (NHSO),Not Rated,41.27,33.33
19.05,,32.78,61a607a9-b404-41e0-a52e-0c6d0ce8c2be,53.49,1096dcb8-2a9d-49bb-a455-35e657c1e1a2,55.56,Not Rated,1.1.7,Quality of Life of Colorectal Cancer Survivors: Patient Reported Outcomes (GOLD),Not Rated,38.88,33.33
19.05,,33.95,a95beeb8-9316-442c-8699-22fc4b2170e5,51.16,10bd5205-5d7d-4d77-baef-4a6237ce7c75,50.79,Not Rated,1.1.7,Antimicrobial prescribing surveillance data during the COVID-19 pandemic,Not Rated,41.27,33.33
4.76,,29.12,27e1ffc7-5804-40e2-83e2-93f570906127,46.51,112db000-f69f-47a4-8dd7-db7b6d839e68,46.03,Not Rated,1.1.7,Bangladesh Asthma Hajj Study,Not Rated,29.36,4.76
19.05,,32.78,3d2d9c5e-6111-4583-a6db-07affd628f1e,53.49,115109e7-9a35-420f-831e-0707bc96375c,55.56,Not Rated,1.1.7,UK SARS-CoV-2 viral sequencing data (COG-UK) - Lineage/Variant Data - NI,Not Rated,38.88,33.33
28.57,ALLIANCE > HQIP,48.0,01ad25ed-8cde-43d7-bc77-d8cc3d165df4,32.56,1199f5b5-99f0-4aae-9769-ab754f05dcdb,33.33,Not Rated,1.1.7,National Maternity and Perinatal Audit Organisational Survey 2019,Not Rated,45.24,23.81
19.05,,33.95,9890eee9-44d4-49f7-8674-16c05a5f82e0,51.16,125202ff-1d00-4f8e-96e1-1d5a310ab326,50.79,Not Rated,1.1.7,2019 UK Parkinson's Audit - Occupational therapy,Not Rated,41.27,33.33
19.05,,32.78,62903826-acfc-4d60-9010-cd70b4f556c1,53.49,126b50ad-d0c8-4c75-a477-69420d4601b4,55.56,Not Rated,1.1.7,Lighthouse,Not Rated,38.88,33.33
4.76,,29.12,7dee2bd6-733a-4b2e-a942-7f9eaf8ebbc2,46.51,12d62b02-2167-407d-acdb-6ddb9d251d36,46.03,Not Rated,1.1.7,NIHR IBD BioResource: SNP imputation data,Not Rated,29.36,4.76
69.05,ALLIANCE > TISSUE DIRECTORY,75.22,38fe1a10-ebf9-4dc1-8c35-2e7b33b1f6b5,18.6,12dba445-dfa9-46af-abc0-5bd3701061a7,17.46,Bronze,1.1.7,UK primary Sjogren's syndrome Registry,Bronze,71.43,60.32
19.05,,32.78,4352ef1c-67d7-4f2e-b256-1efaac61dacd,53.49,131ccbe5-28dc-4abf-8a44-05f470d1be1d,55.56,Not Rated,1.1.7,"Cataract surgery and visual outcomes at QE Hospital, Birmingham, UK",Not Rated,38.88,33.33
19.05,,32.78,af10ec29-1866-4726-b33f-3948afe182f2,53.49,135f2650-ea0c-4cad-80ac-c86449a176a8,55.56,Not Rated,1.1.7,Tayside Radiology,Not Rated,38.88,33.33
69.05,ALLIANCE > TISSUE DIRECTORY,75.22,47fc8f03-eba1-4efa-ae3e-148a76b56517,18.6,1406c52a-e5d6-4c57-883d-62e405eb604a,17.46,Bronze,1.1.7,Manchester Eye Tissue Repository,Bronze,71.43,60.32
61.9,HUB > BREATHE,70.48,bcbc41cb-99f7-482e-ba3d-561164abbd4e,20.93,1450ff1a-4526-4a6e-b9e9-25969878449d,22.22,Not Rated,1.1.7,COPDMAP Consortium,Bronze,64.28,50.79
54.76,HUB > BREATHE,69.24,e3ca35c1-b2e2-4479-adf1-6a78b1c8c088,16.28,145916c8-d3ca-4465-a719-93dd0770a6e4,17.46,Not Rated,1.1.7,Optimum Patient Care Research Database,Bronze,64.28,46.03
19.05,,32.78,3efd9b30-1f84-48c0-a3e0-402ecb5c7724,53.49,147576e2-b445-4d36-aecc-d604302bd34e,55.56,Not Rated,1.1.7,National Asthma and COPD Audit  (NACAP): secondary care  – CYP asthma (org),Not Rated,38.88,33.33
95.24,ALLIANCE > CYSTIC FIBROSIS TRUST,87.16,34f0c2bd-d42e-4441-a89b-e0e384f12afa,20.93,148ebbaa-28f4-42e0-a27f-8587e516c3bf,30.16,Silver,1.1.7,Cystic Fibrosis Patient Sweat Tests,Gold,84.92,100.0
19.05,,33.95,3326d554-ca11-4dc6-aff0-c5b314442d27,51.16,14a90909-997f-4676-ae52-e19c01670e23,50.79,Not Rated,1.1.7,Practice postcode linked deprivation measures for CPRD GOLD,Not Rated,41.27,33.33
95.24,ALLIANCE > SAIL,89.48,1eb67fd5-33f6-49dd-a43d-854fff9f25f5,16.28,15805559-2115-4822-b91f-635de36fb289,20.63,Gold,1.1.7,Active Adult Survey,Gold,89.69,100.0
80.95,HUB > PIONEER,77.69,5bf9bf39-3cd7-4a54-994b-9914405f945e,25.58,1584af1e-9683-4727-8c9b-9bea8beaa68d,28.57,Silver,1.1.7,UHB 2020 Winter Society of Acute Medicine Benchmarking Audit,Silver,80.16,88.89
4.76,,29.12,ea2d54a2-a6d4-4e82-b2e4-95184f00bbdc,46.51,15aebc30-1e52-4a36-8b17-f9801f35f649,46.03,Not Rated,1.1.7,Health and Employment After Fifty (HEAF),Not Rated,29.36,4.76
95.24,GENOMICS ENGLAND,88.32,4cc5ed33-3190-4f80-953b-cabd5a2b1c7c,18.6,15efea36-d022-495c-a5b6-90f51631a643,19.05,Gold,1.1.7,GENOMICS ENGLAND 100K QUICK VIEW,Gold,90.47,100.0
83.33,ALLIANCE > ISARIC 4C,81.2,84336be3-23bd-466e-b29b-df48db897665,20.93,1638cce2-12f5-410b-9624-86d2f407c502,26.98,Silver,1.1.7,COVID-19 Clinical Information Network (CO-CIN),Silver,80.95,88.89
71.43,ALLIANCE > TISSUE DIRECTORY,77.58,d17efe5d-325f-4fcf-b25e-87d1f6269bea,16.28,16445ebd-bd45-4ded-a7ae-05f33f676598,15.87,Bronze,1.1.7,MFT Biobank,Silver,73.81,63.49
69.05,ALLIANCE > TISSUE DIRECTORY,76.38,c51ab59a-33ce-4145-a642-7f3f96bca545,16.28,167cc04b-23b8-4a9e-9ff9-6c8e07d6a561,15.87,Bronze,1.1.7,Cambridge Blood and Stem Cell Biobank,Silver,72.22,60.32
19.05,,33.95,27690c58-a5da-4359-909a-8e19ff6ca463,51.16,16d40748-66f1-4fc3-bdb3-7c8103cadeb7,50.79,Not Rated,1.1.7,2019 UK Parkinson's Audit - Physiotherapy,Not Rated,41.27,33.33
19.05,,31.62,9ea2f685-d6c2-49fe-a0e2-735910584d67,55.81,16f11980-e2e7-4f79-8e33-39ba4dc3547f,60.32,Not Rated,1.1.7,Suspected Cancer Pathway Daily (SPCD),Not Rated,36.5,33.33
16.67,ALLIANCE > OXFORD UNIVERSITY HOSPITALS NHS TRUST,39.73,88eb839c-bc51-45f0-b15e-ea89bba9ffca,37.21,172242ce-a1c5-4915-9c71-686f6e7d5789,36.51,Not Rated,1.1.7,ARIA Medonc,Not Rated,38.89,14.29
19.05,,32.78,b88c2b24-b75d-4d28-9391-2dbac1605a17,53.49,177c34b4-b74a-406a-a73a-4250d1fb9c1b,55.56,Not Rated,1.1.7,Demography,Not Rated,38.88,33.33
80.95,HUB > PIONEER,77.69,5acfadf9-21a7-4517-a1b2-620d20469611,25.58,1785cc1a-ace0-4980-8352-5977b2b72969,28.57,Silver,1.1.7,UHB 2019 Summer Society of Acute Medicine Benchmarking Audit,Silver,80.16,88.89
19.05,,33.95,a7d8c6a8-0825-4e73-8f29-3d76194d7114,51.16,17c58f15-93ab-4239-b05a-6b9ea82f6f37,50.79,Not Rated,1.1.7,Rural-Urban classification for CPRD GOLD,Not Rated,41.27,33.33
69.05,ALLIANCE > TISSUE DIRECTORY,75.22,e10a660d-b84c-475f-abd4-024dd1af7a5d,18.6,17cd75a2-e2b5-440c-89b1-22c9f3b03a03,17.46,Bronze,1.1.7,IoN Trial,Bronze,71.43,60.32
19.05,,32.78,a29feafa-7bdd-44e9-b977-c9d26425e67f,53.49,185c4410-cea3-4bac-a192-1e1dd8842872,55.56,Not Rated,1.1.7,CPRD GOLD,Not Rated,38.88,33.33
19.05,,32.78,9a36f3f8-3b7e-4e61-8993-b9cc2734fcb8,53.49,18e2ce4c-b0a0-4f2b-a12c-0d18bb1a165a,55.56,Not Rated,1.1.7,SARS-CoV-2 viral sequencing data (COG-UK data) - Lineage/Variant Data - England,Not Rated,38.88,33.33
95.24,ALLIANCE > GENOMICS ENGLAND,89.48,98999c67-0133-4f11-be95-b84ee5727c84,16.28,1900af1a-bd21-4157-ac48-203eec682073,20.63,Gold,1.1.7,GENOMICS ENGLAND 100K BIOINFORMATICS DATA,Gold,89.69,100.0
19.05,,32.78,bcf6e5ce-986d-4b84-9c9c-69de966e8bbd,53.49,19525c5f-92ee-41b6-bb79-673624b27bdd,55.56,Not Rated,1.1.7,Improving Access to Psychological Therapies Data Set,Not Rated,38.88,33.33
19.05,,32.78,70e37f44-5c3e-4c83-a42a-89b3476d1d45,53.49,199b8c9f-baf2-4eb8-a8fe-783f58eceb2e,55.56,Not Rated,1.1.7,COVID-19 Consolidated Deaths (CDDS),Not Rated,38.88,33.33
4.76,,29.12,2fea047c-ae65-43d5-a1e3-43447981c165,46.51,1a2ecd43-745f-4a67-acd6-27023f1f9c5b,46.03,Not Rated,1.1.7,3CN (Cirrhosis Cohort),Not Rated,29.36,4.76
71.43,ALLIANCE > TISSUE DIRECTORY,77.58,c9f82f86-79e1-4067-932f-5e6dc939006d,16.28,1a412ff0-6275-4cab-a485-bb76befc7afe,15.87,Bronze,1.1.7,UK real-world lymphoid tissue bank,Silver,73.81,63.49
95.24,ALLIANCE > CYSTIC FIBROSIS TRUST,87.16,9cf5dbd3-a109-4e8d-b1bb-7e4126bd887f,20.93,1a4b65e9-5241-4081-9cbb-43a8c8c6ea3b,30.16,Silver,1.1.7,Cystic Fibrosis Patient CFQ-R,Gold,84.92,100.0
19.05,,33.95,36886b21-12ff-45e7-82bc-fb5308c12450,51.16,1bafa55c-5616-47db-8ac8-798038146254,50.79,Not Rated,1.1.7,"Diabetic Eye Screening: the Birmingham, Solihull and Black Country Data Set",Not Rated,41.27,33.33
