minMultiplicity,label,domainType,maxMultiplicity,description,dataTypeLabel,id,dataClass,aliases,dataModel,dataType
,Number Meeting Target,DataElement,,The number of A&E attendances seen within 4 hours,6 digits,1f0576f3-ede8-4607-8321-6f75efbbed0c,7b1c41ea-a6d9-4136-b9e5-33298b0e654a,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Number of Attendances,DataElement,,The number of A&E attendances,6 digits,6fa74e3d-92b9-488a-997c-a9c41665459f,7b1c41ea-a6d9-4136-b9e5-33298b0e654a,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Location code,DataElement,,The hospital location code,5 characters,788f0842-7dd0-4481-abc9-4ac2f43b79f7,7b1c41ea-a6d9-4136-b9e5-33298b0e654a,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Date of Extract,DataElement,,The date the extract was taken in the format CCYYMMDD (e.g. 20180301 for the 1st March 2018).,8 digits,09c2c1a3-b646-412d-bd44-6ceec675ff2a,72880ad8-1b27-43b6-895f-4f015a2d994c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Record Count,DataElement,,The number of records in the file.,1 to 8 digits,22be24a8-6e93-4cda-962c-00f6ba1eaa2d,72880ad8-1b27-43b6-895f-4f015a2d994c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Extract Month,DataElement,,The year and month the data relates to in the format CCYYMM (e.g. 201802 for data from February 2018).,6 digits,432ad2ee-69b8-48b7-9b24-834a2f0a0d13,72880ad8-1b27-43b6-895f-4f015a2d994c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Sending Location Code,DataElement,,The location code identifying the location where the data was sent from (e.g. G107H for the Glasgow Royal Infirmary).,5 characters,a0d0646f-9c58-410b-9bd7-b4ebdbd8c1cb,72880ad8-1b27-43b6-895f-4f015a2d994c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Submission,DataElement,,"A number identifying the sequence of submission from a single location.  The submission number must be incremented each time a new file is submitted, even when a file is resubmitted.",1 to 4 digits,824d034a-e825-4176-9166-a98a26891ea2,72880ad8-1b27-43b6-895f-4f015a2d994c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Extract Type,DataElement,,There are two options; AEE for episode files AES for aggregate files.,3 characters,e6dd3778-16f1-431a-8650-bdbe6c4bc19c,72880ad8-1b27-43b6-895f-4f015a2d994c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Disease3,DataElement,,Optional,6 character ICD10 code,1df67067-fcf1-4ec9-a9bb-f3d2ad5e7c2b,3543a873-f043-40be-be5b-124e0c14679c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Attendance Category,DataElement,,Mandatory,2 digits,2a042ace-92a7-4de0-9337-8bc48e8802a1,3543a873-f043-40be-be5b-124e0c14679c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Common Preventive Measures,DataElement,,Optional,2 to 3 characters,efefd78c-c0c4-44d6-95f7-88ea095dfbf3,3543a873-f043-40be-be5b-124e0c14679c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Patient Year of Birth,DataElement,,Optional,4 digits,0f1d17b1-042f-4630-9169-1e53b7640e82,3543a873-f043-40be-be5b-124e0c14679c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Referral Source,DataElement,,Mandatory,2 to 3 characters,5d4d38e3-f6f8-4e87-85d8-5cfd2e0a4ce3,3543a873-f043-40be-be5b-124e0c14679c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Case Reference Number,DataElement,,Mandatory,6 to 14 characters,5c8594a5-5fad-4cb0-b714-ee5a67304b5e,3543a873-f043-40be-be5b-124e0c14679c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Discharge Destination,DataElement,,Mandatory,2 to 3 characters,26e57bef-0517-473a-aadd-85dc5e19e972,3543a873-f043-40be-be5b-124e0c14679c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Investigation Type2,DataElement,,Optional,2 to 3 characters,588bc8d7-4022-4873-90f4-cf9bdf316f53,3543a873-f043-40be-be5b-124e0c14679c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Place of Incident,DataElement,,Optional,2 to 3 characters,b9586fe3-81d2-487b-b54d-a6280c96e652,3543a873-f043-40be-be5b-124e0c14679c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,Date and Time of First Full Clinical Assessment,DataElement,,Optional,(CCYYMMDDhhmmss),5bad75f8-f354-4dcc-a443-5f81fd06b249,3543a873-f043-40be-be5b-124e0c14679c,,01728d51-19eb-4527-8add-6b660cb557cc,PrimitiveType
,ic_morhpology_id,DataElement,,Morphology ID. Based on submitted NICIP / SNOMED-CT codes. Provides categorisation of imaging conducted on morphologic abnormalities (alterations of the body structure from its original anatomical structure),INTEGER,f5269e58-64be-4cd5-a158-6a7744e95c19,021b7bb5-b8bf-4270-a40c-7dae2b62c56d,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,fyear,DataElement,,Financial year in which the imaging test was carried out,INTEGER,406a6d81-f778-45a2-9058-1a2b08cbf581,021b7bb5-b8bf-4270-a40c-7dae2b62c56d,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,ic_region_id,DataElement,,Body region code. Broad categories represented by an ID categorising submitted NICIP or SNOMED-CT by body region,INTEGER,52f6e0dd-ca44-429d-a16f-eb8578a30d1f,021b7bb5-b8bf-4270-a40c-7dae2b62c56d,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,ic_system_id,DataElement,,Body structure/system groups code. Broad categories represented by an ID categorising submitted NICIP or SNOMED-CT by body structure or system groups as identified by Clinical Terminologists at NHS Digital,INTEGER,500a7451-0d6e-4b62-8b2c-1aef1a1fb296,021b7bb5-b8bf-4270-a40c-7dae2b62c56d,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,did_snomedct_code,DataElement,,Imaging Code (SNOMED-CT). It must be a valid active code,INTEGER,7ee126e0-9bad-4bfd-93f4-7c460bf63f12,021b7bb5-b8bf-4270-a40c-7dae2b62c56d,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,ic_sub_cancer_desc,DataElement,,Descriptive sub-division of each identified cancer category,STRING,fe4e23eb-523e-498b-864a-326f9332ad72,021b7bb5-b8bf-4270-a40c-7dae2b62c56d,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,ic_sub_syscomp_id,DataElement,,Body sub system component code. Further sub-classification within system and sub-system categorisation of submitted NICIP / SNOMED-CT codes by body structure / system groups,INTEGER,51e4195a-b0fa-469e-b64c-e8bdb92db996,021b7bb5-b8bf-4270-a40c-7dae2b62c56d,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,ic_sub_region_id,DataElement,,Body sub region code. Narrower categories represented by an ID categorising submitted NICIP or SNOMED-CT to provide a more complete categorisation of imaging by body sub region,INTEGER,9e33c754-8bcf-4f73-8a9b-292915bfc86c,021b7bb5-b8bf-4270-a40c-7dae2b62c56d,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,submissiondataid,DataElement,,"Record identifier (unique in combination with patid) [primary key, in combination with patid]",INTEGER,532f6796-95e3-4bdf-b806-e6fe537d0bc7,021b7bb5-b8bf-4270-a40c-7dae2b62c56d,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,ic_modality_id,DataElement,,"Modality ID. Broad categories represented by an ID, grouping procedures or methods used for examination that may include procedures assisted by the method, e.g. biopsy or injection. Derived from submitted NICIP / SNOMED CT codes",INTEGER,8505451e-61ab-4664-9b3c-874f0cafffeb,021b7bb5-b8bf-4270-a40c-7dae2b62c56d,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,ic_prov_shacode[1],DataElement,,SHA code representing the SHA with which the provider organisation is associated,STRING,715941c0-b335-4730-bf33-c9f7a5186172,82a30e89-0a4e-4120-8f51-6b3fabc344d2,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,did_date2,DataElement,,Diagnostic Test Request Received Date. The date that the diagnostic provider received the referral request. Date must be >= Diagnostic Test Request Date and >1 year before Diagnostic Test Date. Date can be left blank,DATE,036144f4-5989-419d-92e4-70f712c2402f,82a30e89-0a4e-4120-8f51-6b3fabc344d2,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,ic_reftype_desc,DataElement,,"Referrer Type Description (GP, Consultant, Nurse, Physio, Other health professional, not known)",STRING,9aad7c3e-df97-4339-8ada-af675dab84f0,82a30e89-0a4e-4120-8f51-6b3fabc344d2,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,did_date1,DataElement,,Diagnostic Test Request Date. The date that the referrer made the referral request. Date submitted must be <= Diagnostic Test Request Received Date and >1 year before Diagnostic Test Date. Date can be left blank,DATE,92253d9d-80b5-4fe4-be21-5009dd1dc4fc,82a30e89-0a4e-4120-8f51-6b3fabc344d2,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,patid,DataElement,,"Encrypted unique key given to a patient in CPRD GOLD or CPRD Aurum [primary key, in combination with submissiondataid]",INTEGER,75614d3c-a7be-4a13-97c2-c111b0b3d284,82a30e89-0a4e-4120-8f51-6b3fabc344d2,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,hes_did_matchrank,DataElement,,Indicates the quality of matching between HES and DID and gives the level of confidence that a DID record has been correctly matched to a patient in HES. This match rank is calculated per DID record,STRING,9d8b9372-06da-4551-843f-9e0a981de3ab,82a30e89-0a4e-4120-8f51-6b3fabc344d2,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,submissiondataid,DataElement,,"Record identifier (unique in combination with patid) [primary key, in combination with patid]",INTEGER,6ac17c22-393b-4123-9594-e7a77520d86a,82a30e89-0a4e-4120-8f51-6b3fabc344d2,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,did_patsource_code,DataElement,,Patient Source Setting. Categorises the type of department or organisation making the referral for imaging activity,INTEGER,2f9b0a4c-bbc3-44d5-8263-c417bd37360b,82a30e89-0a4e-4120-8f51-6b3fabc344d2,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,did_ethcat,DataElement,,Ethnic code as per submission. Contains nationally defined codes. Left blank where a value was not supplied,STRING,e510555f-e3a8-4a8a-936a-6d7bec0e67e4,82a30e89-0a4e-4120-8f51-6b3fabc344d2,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,match_rank,DataElement,,Indicates the quality of matching between a record in HES and CPRD primary care data and gives the level of confidence that an HES record has been correctly matched to a patient in CPRD GOLD or CPRD Aurum.,INTEGER,fbc753a9-7076-45c0-a2a7-e87f96483579,43d689de-389f-435f-b670-b668464a537e,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,n_patid_hes,DataElement,,Number of individuals in CPRD GOLD or CPRD Aurum assigned the same gen_hesid (unique patient identifier generated in HES),INTEGER,9b9a5f38-1f0d-4a13-aaf9-c4de28afce4f,43d689de-389f-435f-b670-b668464a537e,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,patid,DataElement,,Encrypted unique key given to a patient in CPRD GOLD or CPRD Aurum [primary key],INTEGER,c0e4d52b-75e3-4dd3-92b8-7aa3d94b1daa,43d689de-389f-435f-b670-b668464a537e,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,gen_hesid,DataElement,,A generated unique key assigned to a patient across all CPRD linked HES datasets within a linkage set. An individual that has contributed data to more than one CPRD practice has the same gen_hesid but this may change between linkage sets.,INTEGER,a4673c20-c426-466a-a3ef-ef6d60b8a3c5,43d689de-389f-435f-b670-b668464a537e,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,pracid,DataElement,,Encrypted unique key given to a practice in CPRD GOLD or CPRD Aurum,INTEGER,5221abeb-2f55-4af3-a77b-2806cd2ba5ea,43d689de-389f-435f-b670-b668464a537e,,0266f904-b168-488a-a9e7-d318443584ef,PrimitiveType
,OACODE11,DataElement,,"Census Output Area, 2011: The 2011 Census output areas were based on 2001 Census output areas, and they form the building bricks for defining higher level geographies. Pseudo codes are included for Channel Islands and Isle of Man. The field will otherwise be blank for postcodes with no grid reference.",String,1a6f0fe8-48bd-477b-917f-0ba9fe754b6d,5054b03d-4b2d-4dd1-93f9-7df4c913356b,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,AT_GP_PRACTICE,DataElement,,Area Team of GP Practice: This derived field contains the code for the Area Team (AT) where the patient’s GP practice is registered. It is derived from Code of GP practice (GPPRAC),String,a16de71f-8664-47af-98ae-d14742a318eb,5054b03d-4b2d-4dd1-93f9-7df4c913356b,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,OACODE01,DataElement,,"Census Output Area, 2001: The 2001 Census Output Areas were built from unit postcodes and constrained to 2003 ‘statistical’ wards, and they form the building bricks for defining higher level geographies. Pseudo codes are included for Channel Islands and Isle of Man. The field will otherwise be blank for postcodes with no grid reference.",String,5ad04687-c85a-480e-a4a1-cb4dbeb97a8a,5054b03d-4b2d-4dd1-93f9-7df4c913356b,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,RESPCT,DataElement,,Patient's Primary Care Trust of residence: This derived field contains the code for the primary care trust (PCT) in which the patient lived immediately before admission. It is derived from the patient's postcode in the field homeadd.,String,2f97e46c-341c-4474-9c53-3b2838be7e27,5054b03d-4b2d-4dd1-93f9-7df4c913356b,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,PCON,DataElement,,Westminster parliamentary constituency: The  pre-2011 Westminster Parliamentary Constituency code for each postcode. Pseudo codes are included for Channel Islands and Isle of Man. The field will be blank for postcodes with no grid reference.,Number,67660aab-0765-4c0a-809a-9796694a38ae,5054b03d-4b2d-4dd1-93f9-7df4c913356b,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,CCG_GP_PRACTICE,DataElement,,CCG of GP Practice: This derived field contains the code for the Clinical Commissioning Group (CCG) where the patient’s GP practice is registered. It is derived from GP Pracrice (GGPRAC).,String,875b93ce-fb10-44b7-94c5-d3cece48e82c,5054b03d-4b2d-4dd1-93f9-7df4c913356b,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,RESSTHA,DataElement,,Patient's Strategic Health Authority of residence: This derived field contains the code for the strategic health authority (SHA) in which the patient lived immediately before admission. It is derived from the patient's postcode in the field homeadd.,String,464a9981-53a8-4fb7-b8c9-51d54ef85730,5054b03d-4b2d-4dd1-93f9-7df4c913356b,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,HAR,DataElement,,"Patient's health authority of residence, provided by NHS: The patient's health authority of residence provided by the NHS.",String,ce41ce52-59cd-4a1b-9ef4-7d5b7d465588,5054b03d-4b2d-4dd1-93f9-7df4c913356b,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,RESGOR,DataElement,,Government office region of residence: This derived field contains a code that defines the Government Office Region of residence of the patient. It is derived from the patient's postcode in the field homeadd.,String,b7260614-2532-434b-bc38-33b8a164338c,5054b03d-4b2d-4dd1-93f9-7df4c913356b,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,STHATRET,DataElement,,Strategic Health Authority area of treatment: This field is derived from the hospital provider code (procode). It indicates the strategic health authority (SHA) area within which the treatment took place.,String,09b606d0-71c5-42a8-a9de-580478cfc785,5054b03d-4b2d-4dd1-93f9-7df4c913356b,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,BIRORDER_N,DataElement,,"Birth order: The position in the sequence of births. This item appears for each baby on multiple birth delivery records. From 1996-97 the same value (1) is used for a single birth or the first born of several. Up until March 2002, only the first six births were recorded.",String,0b1eb33f-3fdd-4e30-ad8a-0aaf92d9a318,73c3f5a9-3357-41d7-a734-34e2575acad4,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,ANAGEST,DataElement,,"Gestation period in weeks at first antenatal assessment: Gestation period in weeks at the date of the first antenatal assessment. This field is calculated from anadate, gestat and the dobbaby.",Number,7a592892-39be-465e-baa0-b4f446e4be9f,73c3f5a9-3357-41d7-a734-34e2575acad4,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,NUMTAILB,DataElement,,Number of baby tails: This is the number of valid baby groups on the episode record. A valid baby group is defined as one which has a valid birthweight and a valid delivery method. This field defaults to 1.,Number,a05d9bc9-f5b4-4f6c-ab1d-08a43b35c9e2,73c3f5a9-3357-41d7-a734-34e2575acad4,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,DELPOSAN,DataElement,,Anaesthetic given post-labour or delivery: This field contains a code which defines the anaesthetic or analgesic administered after delivery.,Number,01c2d117-f0c4-466f-b75b-b7cd6735fe7d,73c3f5a9-3357-41d7-a734-34e2575acad4,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,DELPREAN,DataElement,,Anaesthetic given during labour or delivery: This field contains a code which defines the anaesthetic or analgesic administered before and during labour and delivery.,Number,818b979f-5e90-40c8-8f72-96a3fa53163b,73c3f5a9-3357-41d7-a734-34e2575acad4,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,GESTAT_N,DataElement,,"Length of gestation: This is the number of weeks completed gestation, based upon an average 40 week gestation, which may be derived from:
a) estimated date of delivery calculated by Ultrasound Scan measurements according to the trimester of the scan 
b) estimated date of delivery measured from the first day of last menstrual period (LMP) 
c) clinical assessment (in the absence of a or b) - antenatally for Maternity, postnatally for Neonatal",Number,a7c3ea6c-aac9-46ca-93c7-257d2faa77e1,73c3f5a9-3357-41d7-a734-34e2575acad4,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,BIRESUS_N,DataElement,,Resuscitation method: This field contains a code that identifies the method used to get the baby breathing normally. This item appears for each baby on multiple birth delivery records.,Number,9f462503-ff5a-4aa2-acc5-b929d804d451,73c3f5a9-3357-41d7-a734-34e2575acad4,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,ANASDATE,DataElement,,First antenatal assessment date: This field contains the date when a pregnant woman was first assessed and arrangements were made for antenatal care. This is not necessarily the date when delivery arrangements were made.,String,1d6868b1-da13-463f-b89b-f0d2b8b67a8a,73c3f5a9-3357-41d7-a734-34e2575acad4,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,POSTDUR,DataElement,,Postnatal stay: This derived field contains the number of days between the baby's birth and the end of the finished episode. It is calculated from episode end date (epiend) and the first baby's date of birth (dobbaby).,Number,db71a5f9-b82f-4dd9-89b6-85e5c4c9279c,73c3f5a9-3357-41d7-a734-34e2575acad4,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,DELINTEN,DataElement,,"Delivery place (intended): This field contains a code which defines the intended type of delivery place. The initial intention is designated by the General Medical Practitioner (GMP) and midwife, or by the GMP and hospital staff. The decision is normally made when the mother is assessed for delivery. The actual delivery place type is in delplac.",Number,f7fc5357-8f7e-4735-ba2d-9b95e22a20f1,73c3f5a9-3357-41d7-a734-34e2575acad4,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,ELECDUR_CALC,DataElement,,"Calculation of Elecdur: This field returns the elecdur but excludes admissions from emergency, so only includes eledur where the method of admission (admimeth) is 11 or 12",String,f9546c75-4822-4265-ab97-a8c36e89fc83,1184fe01-0013-4d0c-826b-65ebd0b7a442,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,ELECDATE,DataElement,,"Date of decision to admit: This field contains the date on which a consultant, or another member of the clinical staff, decided to admit the patient to a hospital. The patient may or may not be admitted immediately. The time between elecdate and admidate (admission date) is known as the waiting time.",String,b7ad1058-37b3-48be-8c7b-a9647d2fde9d,1184fe01-0013-4d0c-826b-65ebd0b7a442,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,ADM_CFL,DataElement,,Admission date check flag: Codes in this field indicate whether the patient's admission date is valid.,Number,92d9bfb0-fab5-41c7-9543-15865b16c96d,1184fe01-0013-4d0c-826b-65ebd0b7a442,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,ADMIMETH,DataElement,,Method of admission: This field contains a code which identifies how the patient was admitted to hospital. Admimeth is recorded on the first and also all subsequent episodes within the spell (ie where the spell is made up of more than one episode).,Number,0ab68b69-f774-4e8e-a925-b3f487d79cf6,1184fe01-0013-4d0c-826b-65ebd0b7a442,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,ELECDUR,DataElement,,"Waiting time: This field contains the difference in days between the date on which it was decided to admit the patient (elecdate) and the actual admission date (admidate). Elecdur is only applicable where an elective admission (ie the admission method is 11, 12 or 13) was scheduled and took place.",Number,a158e991-b93c-4e22-ba7e-47355bec139d,1184fe01-0013-4d0c-826b-65ebd0b7a442,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
,ELECDURD,DataElement,,"Waiting time - derived: This derived field contains the difference in days between the date on which it was decided to admit the patient (elecdate) and the actual admission date (admidate). Elecdur is only applicable where an elective admission (ie the admission method is 11, 12 or 13) was scheduled and took place.",Number,bd629797-ce79-4312-bc16-cd6d68c7f23b,1184fe01-0013-4d0c-826b-65ebd0b7a442,,02961e24-4cb3-4cd3-90bd-4248a00391ce,PrimitiveType
